n_features,n_samples,obs_per_village,feautre_power,count_accuracy,mse_naive,mse_model
6,100,2,1,0.36,76.64925984133718,189.04701423351864
6,100,2,1,0.42,188.2720376199367,326.1519293256461
6,100,2,1,0.14,1.8411708452793878,219.46028210346174
6,100,2,1,0.18,71.88209234334346,396.91065338254344
6,100,2,1,0.2,18.292235153104663,145.61982067454312
6,100,2,0.5,0.14,21.12386377448771,191.6420703272523
6,100,2,0.5,0.32,93.79229559818721,202.6963015475127
6,100,2,0.5,0.26,31.625984648982495,115.23658622432717
6,100,2,0.5,0.28,155.77362645273593,251.00173849687252
6,100,2,0.5,0.24,15.077248984274577,148.62311713416796
6,100,2,0.25,0.42,59.174683146397875,143.98811855524656
6,100,2,0.25,0.22,49.87780680942561,190.17791828715664
6,100,2,0.25,0.18,33.607018096680534,289.11062585129844
6,100,2,0.25,0.3,53.257356664091006,257.0022629585943
6,100,2,0.25,0.24,100.81645321472796,296.1096371788918
6,100,4,1,0.04,0.6552495910341957,153.4517169188912
6,100,4,1,0.16,1.7327387141104464,130.02798782933772
6,100,4,1,0.08,47.71900167933506,383.55863454402424
6,100,4,1,0.04,11.781297428172257,402.2357855864739
6,100,4,1,0.16,6.462644672786948,187.64212003530255
6,100,4,0.5,0.04,25.21861231619036,338.64668743936176
6,100,4,0.5,0.2,26.498570712024257,276.3551676659744
6,100,4,0.5,0.28,100.56868804438434,327.3927492540226
6,100,4,0.5,0.16,21.318967250911346,315.7950248494277
6,100,4,0.5,0.08,4.771319307553556,329.16553202463547
6,100,4,0.25,0.36,18.114781451286838,102.73075458118103
6,100,4,0.25,0.24,9.139923247738524,221.99635659803425
6,100,4,0.25,0.16,14.41227954307084,236.65904121852273
6,100,4,0.25,0.24,33.8060745564975,326.9820205721491
6,100,4,0.25,0.12,5.993895759799883,126.83345372404722
6,96,6,1,0.375,108.50012295228436,383.2833391233518
6,96,6,1,0.1875,50.36232708601721,297.1852231561865
6,96,6,1,0.125,30.780989096525765,330.1132543480197
6,96,6,1,0.0625,29.798332036835244,237.22138084775474
6,96,6,1,0.0625,1.2009679763237517,273.7710738204007
6,96,6,0.5,0.125,30.730052178743538,688.2054836297636
6,96,6,0.5,0.0625,9.057685810503635,379.39335583105276
6,96,6,0.5,0.375,30.056100940773916,156.99351896374105
6,96,6,0.5,0.0625,16.73642136520492,175.35941034807516
6,96,6,0.5,0.125,8.01951870346997,448.45473306800136
6,96,6,0.25,0.125,9.235191978825295,303.91691211794716
6,96,6,0.25,0.1875,42.91609377219501,217.80561813075144
6,96,6,0.25,0.1875,38.738599934695024,308.699166232
6,96,6,0.25,0.0625,57.141007848848076,435.5296998946004
6,96,6,0.25,0.25,8.749931473449838,279.2028068290282
6,96,8,1,0.3333333333333333,43.75032751503901,257.63810001863175
6,96,8,1,0.0,11.352699275784161,391.9478428738291
6,96,8,1,0.08333333333333333,3.9879639600491177,287.89654033167903
6,96,8,1,0.0,19.47608568737793,576.6640015815339
6,96,8,1,0.08333333333333333,6.075649196862698,230.0472794850812
6,96,8,0.5,0.08333333333333333,6.418636239236922,211.75042542978335
6,96,8,0.5,0.5,119.95117136040399,106.4333193107526
6,96,8,0.5,0.0,1.8571860262590316,65.28223398559196
6,96,8,0.5,0.25,54.81360809676456,418.9207912778395
6,96,8,0.5,0.08333333333333333,14.697666767792805,127.8750221759031
6,96,8,0.25,0.08333333333333333,2.9053763260381147,61.27341457000407
6,96,8,0.25,0.08333333333333333,7.54708760330188,392.84419897123075
6,96,8,0.25,0.25,32.58999951201114,277.4046060850332
6,96,8,0.25,0.25,43.37760812471814,142.86777190515085
6,96,8,0.25,0.16666666666666666,9.793853630530071,228.86498093657215
6,100,10,1,0.4,18.355637915815933,94.04618517169042
6,100,10,1,0.2,14.975558824151054,129.80272965487015
6,100,10,1,0.0,4.191421556972671,156.114370122204
6,100,10,1,0.0,23.653450867369806,364.85888292231004
6,100,10,1,0.2,7.096515739688945,151.72052812225192
6,100,10,0.5,0.3,15.458590800405128,27.49494776412637
6,100,10,0.5,0.0,11.877810766113587,554.8210510708981
6,100,10,0.5,0.2,38.94506822690897,351.0134944499594
6,100,10,0.5,0.3,0.408762526074309,44.373991612883984
6,100,10,0.5,0.1,3.8057338951529913,220.19214941532536
6,100,10,0.25,0.2,4.8403969706647185,88.85883743423042
6,100,10,0.25,0.2,9.199659988267122,100.70719848024501
6,100,10,0.25,0.1,6.285031317090698,87.96003018214289
6,100,10,0.25,0.1,16.761803808627313,252.93830342642346
6,100,10,0.25,0.3,10.745525033082505,318.1380975063944
6,96,12,1,0.25,37.10242089616867,236.2464978247272
6,96,12,1,0.25,17.292297402480287,144.93758530430912
6,96,12,1,0.125,4.832413425821657,333.8281767807587
6,96,12,1,0.375,5.260884097989181,102.08128395861033
6,96,12,1,0.125,3.050780636239124,130.2641884848318
6,96,12,0.5,0.375,5.935353048255839,157.4099741781722
6,96,12,0.5,0.0,6.182345200181758,71.82780971753647
6,96,12,0.5,0.5,13.46666327315758,76.1970493329231
6,96,12,0.5,0.25,6.619504668163525,167.3216817341414
6,96,12,0.5,0.0,3.2514604612881204,86.36941695364334
6,96,12,0.25,0.375,3.2210354208874357,76.05212594914221
6,96,12,0.25,0.0,15.114770246450512,291.6980629415476
6,96,12,0.25,0.125,16.456941034326512,110.20564555121165
6,96,12,0.25,0.125,12.133949158570141,276.60452385299266
6,96,12,0.25,0.0,0.9164431901751632,240.14640992670346
6,98,14,1,0.0,0.16124657758812214,121.05721272281598
6,98,14,1,0.0,1.662414492062838,316.42388554315386
6,98,14,1,0.0,1.6505128036403778,54.68506675786837
6,98,14,1,0.2857142857142857,4.837043378838105,39.83113075379269
6,98,14,1,0.14285714285714285,17.455273698926643,166.6599042912962
6,98,14,0.5,0.0,7.146480532581696,135.34451182051436
6,98,14,0.5,0.14285714285714285,18.375355283852315,236.4340679993436
6,98,14,0.5,0.14285714285714285,3.647816058305757,25.969710708239194
6,98,14,0.5,0.2857142857142857,30.207821290605754,82.22711487241551
6,98,14,0.5,0.0,3.2128460434400816,146.537808100772
6,98,14,0.25,0.0,0.0032288707510465765,76.74694442566589
6,98,14,0.25,0.14285714285714285,0.8860934031163995,85.3933599342158
6,98,14,0.25,0.0,2.73531726986462,124.51046463206664
6,98,14,0.25,0.14285714285714285,23.705732562993116,252.2061949339706
6,98,14,0.25,0.0,6.437848191662314,59.116789700089136
6,96,16,1,0.0,0.08527052458580851,533.3544677634995
6,96,16,1,0.5,9.690568786418813,70.62177316916733
6,96,16,1,0.0,12.81047468131838,283.52379899762536
6,96,16,1,0.0,1.8046403253603092,174.62690856023673
6,96,16,1,0.16666666666666666,6.974343016321139,228.6174931002466
6,96,16,0.5,0.0,6.9119244681062755,188.26970292816645
6,96,16,0.5,0.0,1.9007366624179927,209.43567171040002
6,96,16,0.5,0.16666666666666666,3.3718108489057883,162.36523683594004
6,96,16,0.5,0.0,3.2225227649005963,179.23706211948456
6,96,16,0.5,0.16666666666666666,17.10509504405354,493.30870073188447
6,96,16,0.25,0.0,2.0241193735779603,89.95074165883177
6,96,16,0.25,0.0,13.502814217555146,94.80553112618414
6,96,16,0.25,0.0,8.229331689745056,302.9198518332135
6,96,16,0.25,0.0,6.02572078659869,53.61511137377786
6,96,16,0.25,0.16666666666666666,6.109059569313505,94.05245581100665
6,90,18,1,0.4,20.849445476551374,53.33144179672164
6,90,18,1,0.0,12.200766856463238,120.13714506879435
6,90,18,1,0.2,4.938462177761951,100.8467958637832
6,90,18,1,0.0,1.461931482831595,121.08843526556264
6,90,18,1,0.0,3.110562908966522,760.1762290515246
