n_features,n_samples,obs_per_village,feautre_power,count_accuracy,mse_naive,mse_model,count_accuracy_optimal,mse_naive_optimal,mse_model_optimal
1,100,2,1,0.26,589.356394451106,528.5935592490583,0.24,589.356394451106,555.6233175030741
1,100,2,1,0.3,625.7518725673328,515.5925007827483,0.3,625.7518725673328,519.1563577363471
1,100,2,1,0.0,0.022473594761654326,133.24607055133683,0.02,0.022473594761654326,118.34621595852428
1,100,2,1,0.08,3.868505863592715,256.77069857346703,0.08,3.868505863592715,264.12300191770146
1,100,2,1,0.06,0.0065113303816469285,15.435233820728957,0.12,0.0065113303816469285,1.9173030533691375
1,100,2,0.5,0.52,671.6089505454348,672.6436156408611,0.48,671.6089505454348,756.0409132631413
1,100,2,0.5,0.48,531.8385068813781,525.063383312408,0.44,531.8385068813781,590.8085946763621
1,100,2,0.5,0.16,10.307863225567953,225.8133422409709,0.16,10.307863225567953,224.82992069847435
1,100,2,0.5,0.02,0.005350486100454247,14.5101881269216,0.04,0.005350486100454247,1.5764485358417628
1,100,2,0.5,0.46,443.19578655548025,497.34644709283,0.46,443.19578655548025,534.3116519862713
1,100,2,0.25,0.26,559.4760125559169,542.2219922432693,0.22,559.4760125559169,604.7117840806197
1,100,2,0.25,0.08,17.704527583905055,195.83339505127176,0.08,17.704527583905055,195.82518628842016
1,100,2,0.25,0.52,578.4592519814786,554.0857766000204,0.46,578.4592519814786,638.7951397989785
1,100,2,0.25,0.06,0.1314089718896806,176.30084272818362,0.02,0.1314089718896806,179.41532401133398
1,100,2,0.25,0.22,16.818146749383445,200.4169452655493,0.26,16.818146749383445,176.82422966496236
1,100,4,1,0.44,271.56277567633174,280.63879963193534,0.32,271.56277567633174,341.7872446419378
1,100,4,1,0.12,9.547660130854833,216.49657317226985,0.12,9.547660130854833,216.48333665954084
1,100,4,1,0.44,373.3889419419517,397.3370780554612,0.4,373.3889419419517,464.0958720110782
1,100,4,1,0.0,0.014032604016377369,151.4473118502004,0.0,0.014032604016377369,145.42759701899985
1,100,4,1,0.0,2.274721181999886,364.08355245245747,0.0,2.274721181999886,378.31103900552785
1,100,4,0.5,0.0,0.028932375663206916,341.5670675418392,0.0,0.028932375663206916,366.82783491264365
1,100,4,0.5,0.0,0.013801646093643103,184.8436011873537,0.0,0.013801646093643103,189.3656448512349
1,100,4,0.5,0.08,4.396903166994115,479.3365174230697,0.08,4.396903166994115,479.6584368271847
1,100,4,0.5,0.0,0.007231838828908226,35.827833575802295,0.0,0.007231838828908226,92.14347088496861
1,100,4,0.5,0.32,131.79833350315405,117.08764872509737,0.32,131.79833350315405,167.39538249381542
1,100,4,0.25,0.6,580.045411788367,548.7885377806084,0.64,580.045411788367,548.0691930065385
1,100,4,0.25,0.52,195.2146472586436,169.49541844501982,0.52,195.2146472586436,175.8047375423992
1,100,4,0.25,0.12,11.20918626923107,271.2544204567199,0.12,11.20918626923107,271.2298359552088
1,100,4,0.25,0.36,78.3556249362973,141.28291890675334,0.36,78.3556249362973,133.42275529714854
1,100,4,0.25,0.2,5.654965107654089,318.0650087173958,0.24,5.654965107654089,310.265304112658
1,96,6,1,0.5,133.406256932043,257.23676950544865,0.4375,133.406256932043,333.5411632455897
1,96,6,1,0.4375,113.9418971761156,104.91474353784204,0.4375,113.9418971761156,129.69781320254006
1,96,6,1,0.0,0.006063052843632231,25.636796021073614,0.0,0.006063052843632231,36.8283074331282
1,96,6,1,0.1875,9.505408571115339,138.1832172773787,0.1875,9.505408571115339,138.1791443909653
1,96,6,1,0.0625,1.3407571361132435,559.0731344525872,0.0625,1.3407571361132435,565.9788657835059
1,96,6,0.5,0.0,0.0019207363675456835,9.675097605100675,0.0,0.0019207363675456835,23.750165454825254
1,96,6,0.5,0.0,2.3940158670516563,297.29488944962696,0.0,2.3940158670516563,367.7315080204737
1,96,6,0.5,0.0,4.1456342980675025,180.8963514042672,0.0,4.1456342980675025,179.72909469059383
1,96,6,0.5,0.5,209.430581364543,147.58465876851213,0.5,209.430581364543,148.40340757821946
1,96,6,0.5,0.4375,166.1112879201762,399.5756351499033,0.375,166.1112879201762,497.6255562814324
1,96,6,0.25,0.0625,7.455154795003405,164.55279802862793,0.0625,7.455154795003405,164.5746907697134
1,96,6,0.25,0.375,106.04609604482035,185.6901630759562,0.3125,106.04609604482035,284.6921775497324
1,96,6,0.25,0.4375,300.7684960823128,311.7605918116376,0.3125,300.7684960823128,377.88242138458105
1,96,6,0.25,0.5,104.64739848998555,85.09079397669608,0.3125,104.64739848998555,110.18258684839046
1,96,6,0.25,0.375,130.8921114903301,136.47594715908167,0.1875,130.8921114903301,190.2081431742633
1,96,8,1,0.6666666666666666,358.0812113649986,357.6075551093027,0.3333333333333333,358.0812113649986,373.01072122212963
1,96,8,1,0.08333333333333333,5.290203822077762,100.27405852411555,0.08333333333333333,5.290203822077762,100.26043429797909
