n_features,n_samples,obs_per_village,feautre_power,count_accuracy,mse_naive,mse_model,count_accuracy_optimal,mse_naive_optimal,mse_model_optimal
1,100,2,1,0.8,10.077568687079573,4.010953434284451,0.8,10.077568687079573,3.9593925135604535
1,100,2,1,0.4666666666666667,0.030383647591059472,0.02605876033747389,0.4666666666666667,0.030383647591059472,0.026061525879834815
1,100,2,1,0.5333333333333333,24.303764704167676,9.715890501311764,0.6,24.303764704167676,9.715906801559834
1,100,2,1,0.13333333333333333,824.25325966088,894.6003935349922,0.13333333333333333,824.25325966088,922.7332486032271
1,100,2,1,0.26666666666666666,575.4033959396282,549.0202279338464,0.2,575.4033959396282,551.755112256849
1,100,2,1,0.6666666666666666,402.6640277854988,333.1046172243872,0.6666666666666666,402.6640277854988,330.8194343723675
1,100,2,1,0.3333333333333333,0.11937859075380625,0.10868016025783904,0.4,0.11937859075380625,0.10866121591122639
1,100,2,1,0.8,473.94901848046396,204.1064661139152,0.7333333333333333,473.94901848046396,188.00583773578848
1,100,4,1,0.8571428571428571,27.48000447799804,11.278053292358676,0.8571428571428571,27.48000447799804,12.423408410338514
1,100,4,1,0.5714285714285714,76.34591782676321,94.77264411268825,0.42857142857142855,76.34591782676321,120.8732492324062
1,100,4,1,0.2857142857142857,108.97105500855291,44.19176843356619,0.2857142857142857,108.97105500855291,45.303001368210296
1,100,4,1,0.8571428571428571,53.98607838257142,37.54399017086759,0.8571428571428571,53.98607838257142,37.5439934429363
1,100,4,1,0.42857142857142855,804.8532458935072,945.8294459987898,0.2857142857142857,804.8532458935072,1147.6581356112233
1,100,4,1,1.0,23.60587097209118,0.0013042741759294793,1.0,23.60587097209118,0.001324424252744031
1,100,4,1,0.8571428571428571,232.17311551421218,176.0836573845639,0.8571428571428571,232.17311551421218,177.16070963680554
1,100,4,1,0.2857142857142857,68.82133655283644,116.55695931995206,0.2857142857142857,68.82133655283644,158.82047129619215
1,96,6,1,1.0,1.021784216115293,0.032031226553554795,1.0,1.021784216115293,0.032505367489156896
