n_features,n_samples,obs_per_village,feautre_power,count_accuracy,mse_naive,mse_model
1,100,2,1,0.0,0.01941495671331925,0.01941495671331925
1,100,2,1,0.0,373.8229389016665,373.8229389016665
1,100,2,1,0.0,586.122051827216,586.122051827216
1,100,2,1,0.0,20.0829357556203,20.0829357556203
1,100,2,1,0.0,476.088364703927,476.088364703927
1,100,2,1,0.0,2.7023907534255245,2.7023907534255245
1,100,2,1,0.0,702.7240000936922,702.7240000936922
1,100,2,1,0.0,500.46432146233565,500.46432146233565
1,100,2,1,0.0,478.0852740199093,478.0852740199093
1,100,2,1,0.0,21.524149833274134,21.524149833274134
1,100,2,0.5,0.0,407.97391589456805,407.97391589456805
1,100,2,0.5,0.0,0.013590502212307422,0.013590502212307422
1,100,2,0.5,0.0,0.189749106502322,0.189749106502322
1,100,2,0.5,0.0,9.957750478109762,9.957750478109762
1,100,2,0.5,0.0,759.8814851009612,759.8814851009612
1,100,2,0.5,0.0,20.45002536533485,20.45002536533485
1,100,2,0.5,0.0,553.5392281123923,553.5392281123923
1,100,2,0.5,0.0,13.940211914032965,13.940211914032965
1,100,2,0.5,0.0,557.6860257135392,557.6860257135392
1,100,2,0.5,0.0,34.041678809037265,34.041678809037265
1,100,2,0.25,0.0,19.326425942661963,19.326425942661963
1,100,2,0.25,0.0,0.023276580745172956,0.023276580745172956
1,100,2,0.25,0.0,11.893720928265045,11.893720928265045
1,100,2,0.25,0.0,804.6556949786977,804.6556949786977
1,100,2,0.25,0.0,0.011387104375343158,0.011387104375343158
1,100,2,0.25,0.0,493.5656248818827,493.5656248818827
1,100,2,0.25,0.0,992.769303437544,992.769303437544
1,100,2,0.25,0.0,602.1258840052667,602.1258840052667
1,100,2,0.25,0.0,0.013892087417052192,0.013892087417052192
1,100,2,0.25,0.0,1008.1785657572036,1008.1785657572036
1,100,4,1,0.0,249.51156391751923,249.51156391751923
1,100,4,1,0.0,379.4917360754843,379.4917360754843
1,100,4,1,0.0,2.497040280737645,2.497040280737645
1,100,4,1,0.0,2.5459866009975567,2.5459866009975567
1,100,4,1,0.0,0.011824197800467957,0.011824197800467957
1,100,4,1,0.0,280.6137058611586,280.6137058611586
1,100,4,1,0.0,1.6800194841042668,1.6800194841042668
1,100,4,1,0.0,170.1815417771378,170.1815417771378
1,100,4,1,0.0,167.52777286781438,167.52777286781438
1,100,4,1,0.0,3.234671429030955,3.234671429030955
1,100,4,0.5,0.0,364.61631839784235,364.61631839784235
1,100,4,0.5,0.0,243.2188081732011,243.2188081732011
1,100,4,0.5,0.0,11.854692881875705,11.854692881875705
1,100,4,0.5,0.0,4.169822610023594,4.169822610023594
1,100,4,0.5,0.0,274.4528535673591,274.4528535673591
1,100,4,0.5,0.0,344.5703651926056,344.5703651926056
1,100,4,0.5,0.0,0.006441608903618537,0.006441608903618537
1,100,4,0.5,0.0,0.04661469009055762,0.04661469009055762
1,100,4,0.5,0.0,135.08878907635403,135.08878907635403
1,100,4,0.5,0.0,2.6425497156902646,2.6425497156902646
1,100,4,0.25,0.0,274.93127579643334,274.93127579643334
1,100,4,0.25,0.0,5.489866307438001,5.489866307438001
1,100,4,0.25,0.0,5.111824399299852,5.111824399299852
1,100,4,0.25,0.0,0.004735570553049121,0.004735570553049121
1,100,4,0.25,0.0,48.58239351528393,48.58239351528393
1,100,4,0.25,0.0,319.7373276740724,319.7373276740724
1,100,4,0.25,0.0,172.94358223469203,172.94358223469203
1,100,4,0.25,0.0,14.351887189981724,14.351887189981724
1,100,4,0.25,0.0,12.118459742504145,12.118459742504145
1,100,4,0.25,0.0,6.965647175957714,6.965647175957714
1,96,6,1,0.0625,175.927626210882,175.92762621088212
1,96,6,1,0.25,151.80833352187076,151.80833352187082
1,96,6,1,0.125,0.002286114367914156,0.002286114367914285
1,96,6,1,0.1875,87.32850854889386,87.3285085488939
1,96,6,1,0.3125,134.51853690737752,134.51853690737755
1,96,6,1,0.1875,0.007266181075942442,0.007266181075942483
1,96,6,1,0.25,229.9210526905025,229.92105269050253
1,96,6,1,0.3125,142.59554216393622,142.59554216393622
1,96,6,1,0.25,14.559837740934096,14.559837740934103
1,96,6,1,0.0,3.2782418960782302,3.2782418960782387
1,96,6,0.5,0.25,87.58153337650543,87.58153337650545
1,96,6,0.5,0.25,225.7496797161164,225.74967971611647
1,96,6,0.5,0.3125,5.2277411027911285,5.2277411027911205
1,96,6,0.5,0.1875,1.9327058800796388,1.932705880079633
1,96,6,0.5,0.375,4.186788201188791,4.186788201188784
1,96,6,0.5,0.25,3.587435768573574,3.587435768573566
1,96,6,0.5,0.1875,151.392283882156,151.392283882156
1,96,6,0.5,0.3125,164.64704393880203,164.64704393880203
1,96,6,0.5,0.25,3.8921824020061306,3.8921824020061258
1,96,6,0.5,0.25,0.004777419622450598,0.004777419622450603
1,96,6,0.25,0.125,169.13084333766545,169.13084333766545
1,96,6,0.25,0.125,6.557103525972633,6.557103525972629
1,96,6,0.25,0.1875,58.07794530365488,58.0779453036549
1,96,6,0.25,0.0625,202.68437471465438,202.6843747146545
1,96,6,0.25,0.25,134.85240016422216,134.85240016422216
1,96,6,0.25,0.25,222.11087259218834,222.11087259218846
1,96,6,0.25,0.125,0.0027834766580854473,0.002783476658085678
